Year,Date,Month,AQI
2023,16,Aug,50
2023,17,Aug,58
2023,18,Aug,NA 
2023,19,Aug,51
2023,20,Aug,NA 
2023,21,Aug,NA 
2023,22,Aug,NA 
2023,23,Aug,NA 
2023,24,Aug,NA 
2023,25,Aug,NA 
2023,26,Aug,65
2023,27,Aug,103
2023,28,Aug,119
2023,29,Aug,103
2023,30,Aug,64
2023,31,Aug,81
2023,1,Sep,NA 
2023,2,Sep,NA 
2023,3,Sep,79
2023,4,Sep,46
2023,5,Sep,76
2023,6,Sep,46
2023,7,Sep,NA 
2023,8,Sep,NA 
2023,9,Sep,NA 
2023,10,Sep,NA 
2023,11,Sep,NA 
2023,12,Sep,44
2023,13,Sep,44
2023,14,Sep,36
2023,15,Sep,NA 
2023,16,Sep,NA 
2023,17,Sep,NA 
2023,18,Sep,NA 
2023,19,Sep,47
2023,20,Sep,NA 
2023,21,Sep,43
2023,22,Sep,NA 
2023,23,Sep,NA 
2023,24,Sep,28
2023,25,Sep,41
2023,26,Sep,77
2023,27,Sep,70
2023,28,Sep,44
2023,29,Sep,47
2023,30,Sep,NA 
2023,31,Sep,51
2023,1,Oct,81
2023,2,Oct,NA 
2023,3,Oct,NA 
2023,4,Oct,NA 
2023,5,Oct,NA 
2023,6,Oct,74
2023,7,Oct,79
2023,8,Oct,62
2023,9,Oct,NA 
2023,10,Oct,NA 
2023,11,Oct,NA 
2023,12,Oct,NA 
2023,13,Oct,NA 
2023,14,Oct,105
2023,15,Oct,106
2023,16,Oct,NA 
2023,17,Oct,NA 
2023,18,Oct,86
2023,19,Oct,71
2023,20,Oct,83
2023,21,Oct,90
2023,22,Oct,110
2023,23,Oct,NA 
2023,24,Oct,100
2023,25,Oct,81
2023,26,Oct,96
2023,27,Oct,106
2023,28,Oct,NA 
2023,29,Oct,96
2023,30,Oct,94
2023,31,Oct,100
2023,1,Nov,110
2023,2,Nov,NA 
2023,3,Nov,103
2023,4,Nov,124
2023,5,Nov,100
2023,6,Nov,116
2023,7,Nov,133
2023,8,Nov,NA 
2023,9,Nov,177
2023,10,Nov,NA 
2023,11,Nov,127
2023,12,Nov,NA 
2023,13,Nov,NA 
2023,14,Nov,NA 
2023,15,Nov,196
2023,16,Nov,145
2023,17,Nov,133
2023,18,Nov,NA 
2023,19,Nov,NA 
2023,20,Nov,NA 
2023,21,Nov,135
2023,22,Nov,NA 
2023,23,Nov,219
2023,24,Nov,NA 
2023,25,Nov,NA 
2023,26,Nov,177
2023,27,Nov,177
2023,28,Nov,192
2023,29,Nov,NA 
2023,30,Nov,150
2023,31,Nov,148
2023,1,Dec,NA 
2023,2,Dec,78
2023,3,Dec,NA 
2023,4,Dec,147
2023,5,Dec,178
2023,6,Dec,198
2023,7,Dec,71
2023,8,Dec,66
2023,9,Dec,NA 
2023,10,Dec,NA 
2023,11,Dec,NA 
2023,12,Dec,127
2023,13,Dec,NA 
